Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
Crédito do Trabalhador - Como quitar,"Caminho no App: Página Inicial > Rolar para baixo > ""Próximos Pagamentos"" > Selecionar ""Crédito do Trabalhador"".

Opções de Pagamento: O valor em aberto pode ser quitado via PIX ou cartão de crédito. O débito é quitado em até 3 parcelas.

Existe a opção de quitação antecipada com desconto, seguindo o mesmo caminho de pagamento.

O cliente pode realizar uma nova contratação após 7 dias uteis.","crédito, emprestimo, pagamento, pagar, quitar, quitação, trabalhador",,,"amortizar, credito trabalhador quitacao, crédito rápido, emprestimo, empréstimo trabalhador, liquidar trabalhador, pagamento, pagar, pagar trabalhador, quitação",Cadastro e APP > Aplicativo > Acesso > Acesso,,
Crédito do trabalhador - Liberação do valor,"Prazo: Após a aprovação final da análise, o crédito é liberado na chave PIX (CPF) do cliente em até 30 minutos.","Crédito liberação do valor, crédito, liberação, trabalhador, valor",,,"benefício trabalhista, credito trabalhador liberacao, crédito liberação do valor, deposito trabalhador, financiamento pessoal, quantia reduzida, valor liberado trabalhador",Empréstimos > Trabalhador > Produtos de Crédito > Como contratar,,
Crédito do Trabalhador - Limite de idade,Faixa etária: A faixa etária para o crédito do trabalhador é de 18 a 62 anos para homens e 18 a 65 anos para mulheres.,"crédito trabalhador, elegibilidade, faixa etária, homens, limite idade, mulheres",,,"credito trabalhador idade limite, crédito para clt, crédito trabalhador, elegibilidade, elegibilidade idade, faixa etaria trabalhador, faixa etária, homens, limite idade, mulheres",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
Crédito do trabalhador - Limite de margem,"[
  {
    ""title"": ""1. O que é a Margem Consignável?"",
    ""content"": ""Conceito: É o valor máximo do salário líquido do cliente que pode ser usado para pagar a parcela do empréstimo.\n\nObjetivo: É uma regra de segurança para garantir que o empréstimo não comprometa o orçamento mensal do cliente.""
  },
  {
    ""title"": ""2. Qual é a Margem da Velotax?"",
    ""content"": ""Margem Legal: A lei geral permite uma margem de até 35%.\n\nMargem Velotax: Para uma maior segurança financeira, a Velotax trabalha com um limite mais responsável, de 25% do salário líquido.""
  },
  {
    ""title"": ""3. Exemplo Prático para o Cliente"",
    ""content"": ""Passo 1 (Base de Cálculo): \""Vamos simular com um salário líquido de R$ 2.700,00.\""\n\nPasso 2 (Calcular a Margem): \""Como nossa margem é de 25%, calculamos 25% de R$ 2.700,00, o que dá R$ 675,00.\""\n\nPasso 3 (Explicar o Resultado): \""Isso significa que, para este salário, a parcela mensal do seu empréstimo não pode passar de R$ 675,00. É com base nesse valor que o sistema calcula o total que podemos liberar para você.\""""
  }
]","crédito, limite, margem, trabalhador",,,"credito trabalhador margem limite, crédito consignado, empréstimo sem garantia, limite consignado, margem consignavel, percentual margem",Empréstimos > Antecipação > Produtos de Crédito > Como contratar,,
Crédito do Trabalhador - O que acontece se eu for demitido?,"Desconto em Folha:

 Em caso de demissão, o desconto das parcelas em folha de pagamento cessa.

Quitação:

 O saldo devedor da dívida permanece e o cliente deverá quitá-lo por outros meios (boleto, PIX).

Multa Rescisória:

 Em alguns casos, parte da multa rescisória do FGTS pode ser direcionada para quitar o empréstimo.","Demissão, FGTS, desconto, fui demitido, multa rescisória, perdi o emprego, quitar, saldo devedor",,,"abatimento, credito trabalhador demissao, demissão, demitido trabalhador, desconto, desemprego, empréstimo trabalhador, fgts, fui demitido, multa rescisória, pagar, perdi o emprego, quitar, saldo devedor, saldo devedor demissao",conta > Conta > Portabilidade Chave PIX > Erro / Bug,,
Credito do trabalhador - Prazo de pagamento,"Prazo de Pagamento: O parcelamento do Crédito do Trabalhador é fixo, em até 3 meses.

Visualização: O cliente pode visualizar o plano de pagamento detalhado durante a simulação no aplicativo, antes de confirmar a contratação.","3 meses, credito, pagamento, pnúmero de parcelas, prazo, trabalhador",,,"3 meses, benefício trabalhista, credito trabalhador parcelas, numero parcelas trabalhador, pnúmero de parcelas, prazo pagamento trabalhador",Empréstimos > Antecipação > Liquidação > Cancelamento,,
Crédito do Trabalhador - Posso cancelar o empréstimo?,"Direito de Arrependimento:

 Sim, o cliente tem até 7 dias corridos, contados a partir do recebimento do valor, para exercer o direito de arrependimento.

Condição:

 Para o cancelamento ser efetivado, o cliente deve devolver o valor total que foi creditado em sua conta.","7 dias, arrependimento, desistir, devolver dinheiro, prazo de cancelamento, rescisão",,,"7 dias, arrependimento, arrependimento trabalhador, credito trabalhador cancelar, crédito para clt, desistir, desistir trabalhador, devolver dinheiro, prazo de cancelamento, rescisão",Empréstimos > Trabalhador > Repasse de valores > Crédito Adquirido,,
Crédito do Trabalhador - Posso usar o FGTS como garantia?,"Garantia:

 Sim, é possível utilizar parte do saldo do FGTS como garantia para o Crédito do Trabalhador.

Benefício:

 O uso do FGTS como garantia pode resultar em juros mais baixos e melhores condições de contratação.","benefício, condições, juros, saldo FGTS, usar FGTS",,,"beneficio fgts, benefício, condições, credito trabalhador fgts garantia, crédito consignado, custo financeiro, fundo de garantia, juros, saldo fgts, sem garantia, usar fgts, usar fgts trabalhador",IRPF | IRPF e Restituição > Duváda > Restituição >Situação do pagamento,,
Crédito do trabalhador - Prazo para cancelamento,"Prazo Legal: O cliente tem até 7 dias corridos, contados a partir do recebimento do valor, para exercer o direito de arrependimento.

Condição: Para o cancelamento ser efetivado, o cliente deve devolver o valor total que foi creditado em sua conta.","cancelamento, crédito, prazo, trabalhador",,,"cancelar prazo trabalhador, credito trabalhador prazo cancelamento, empréstimo pessoal, empréstimo trabalhador, encerrar, rescisao prazo",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
Crédito do Trabalhador - Qual a margem consignável?,"Margem:

 A margem consignável é o percentual máximo do salário que pode ser comprometido com as parcelas do empréstimo.

Limite:

 Para o Crédito do Trabalhador, o limite pode ser de até 35% do salário mensal, dependendo da política de crédito.","35%, comprometimento, contracheque, limite, percentual, salário",,,"35%, benefício trabalhista, comprometimento, comprometimento salario, contracheque, credito trabalhador margem consignavel, limite, percentual, percentual consignavel, percentual de margem, salário",Antecipação da Restituição | Crédito > Reclamação > Antecipação > Custo do serviço,,
Crédito do trabalhador - Quando é o desconto,"Carência: O primeiro vencimento ocorre entre 60 e 92 dias após a contratação.

 Contratação até o dia 20: Primeira cobrança em 60 dias.

 Contratação após o dia 21: Primeira cobrança em 90 dias.","Qual a carência do crédito do trabalhador?, carencia, carencia de pagamento, crédito, desconto, qual a carencia, trabalhador",,,"carencia, carencia de pagamento, credito trabalhador quando desconto, crédito para clt, crédito rápido, data desconto trabalhador, folha de pagamento, folha pagamento desconto, qual a carencia, qual a carência do crédito do trabalhador?",conta > Conta > Conta Celcoin > Abertura de conta,,
Crédito do Trabalhador - Quanto tempo leva para o dinheiro cair na conta?,"Liberação:

 Após a aprovação final do crédito, o valor pode ser liberado na conta do cliente em poucos minutos ou em até 30 minutos, dependendo do banco.","Liberação, aprovação, depósito, dinheiro na conta, prazo, tempo para cair",,,"aprovação, cadastro, credito trabalhador tempo dinheiro, crédito consignado, depósito, dinheiro na conta, liberacao conta, liberação, prazo, prazo deposito trabalhador, tempo para cair",conta > Conta > Movimentações > Extrato,,
Crédito do trabalhador - Quem pode solicitar,"Critérios de Elegibilidade do Colaborador: Vínculo Empregatício: Ser trabalhador com carteira assinada (CLT) há no mínimo 12 meses.

Ser empregado(a) doméstico(a).

Ser diretor(a) com recolhimento de FGTS.

Critérios de Elegibilidade da Empresa: Tempo de Atividade: A empresa empregadora precisa ter um CNPJ ativo há mais de 36 meses.

Critérios de Inelegibilidade (Quem NÃO pode solicitar): Funcionários afastados pelo INSS.

Funcionários em período de aviso prévio.

Funcionários com demissão já registrada no sistema.","CLT, Crédito do Trabalhador - Quem pode solicitar?, FGTS, MEI, Quem pode pedir, afastado, aviso prévio, carteira assinada, critérios, demissão, doméstico, elegibilidade, requisitos, restrições, tempo de empresa",,,"afastado, aviso prévio, carteira assinada, clt, credito trabalhador quem pode, critérios, crédito do trabalhador - quem pode solicitar?, demissão, doméstico, elegibilidade, elegibilidade clt, empréstimo trabalhador, fgts, mei, quem pode pedir, requisitos, requisitos trabalhador, restrições, tempo de empresa",Empréstimos > Antecipação > Repasse de valores > Contestação contratação,,
Crédito pessoal - Como contratar,"[ { ""title"": ""Passo 1: Acessar a área de Empréstimo"", ""content"": ""Acesse o aplicativo e entre na seção de 'Empréstimo Pessoal'."" }, { ""title"": ""Passo 2: Fazer a simulação"", ""content"": ""Simule o empréstimo escolhendo o valor desejado e o número de parcelas para ver o custo total."" }, { ""title"": ""Passo 3: Escolher a proposta"", ""content"": ""Selecione a proposta que preferir entre as opções de prazo e juros apresentadas."" }, { ""title"": ""Passo 4: Revisar e confirmar os dados"", ""content"": ""Revise seus dados pessoais no resumo da contratação e confirme para avançar."" }, { ""title"": ""Passo 5: Aguardar a análise de crédito"", ""content"": ""Aguarde a análise de crédito, que é realizada em poucos segundos."" }, { ""title"": ""Passo 6: Validar sua identidade"", ""content"": ""Valide sua identidade usando biometria, código por SMS ou outro método de segurança solicitado."" }, { ""title"": ""Passo 7: Assinar o contrato digital"", ""content"": ""Leia e aceite os termos para assinar o contrato digitalmente dentro do próprio aplicativo."" }, { ""title"": ""Passo 8: Enviar documentos (se necessário)"", ""content"": ""Caso o sistema solicite, envie fotos de documentos, comprovantes ou outras informações."" }, { ""title"": ""Passo 9: Finalizar a contratação"", ""content"": ""Após a finalização, o app exibirá uma mensagem de sucesso com a data prevista para o dinheiro cair na conta."" } ]","Open Finance, contratar, crédito, pessoal",,,"benefício trabalhista, como contratar pessoal, credito pessoal contratar, financiamento pessoal, open finance, simulacao pessoal",Empréstimos > Antecipação > Liquidação > Cancelamento,,
Crédito Pessoal - Como é feito o pagamento das parcelas?,"Formas de Pagamento: * Informe ao cliente que o pagamento das parcelas pode ser feito selecionando ""Próximos Pagamentos"" na página inicial do app e escolhendo o Crédito. * Explique que as formas de pagamento disponíveis são Pix e cartão de crédito (à vista; para parcelamento, o cliente deve verificar com sua própria administradora do cartão). * Após a quitação, indique que o cliente poderá passar por uma nova análise após 30 dias.","Pix Automático, boleto, como pagar, débito em conta, forma de pagamento",,,"boleto, como pagar, como pagar pessoal, credito pessoal pagamento parcelas, debito conta pessoal, débito em conta, empréstimo sem garantia, forma de pagamento, pix automático",Empréstimos > Antecipação > Taxas e Juros > Valor de Taxas,,
Crédito Pessoal - Como quitar,"Caminho no App: Página Inicial > Rolar para baixo > ""Próximos Pagamentos"" > Selecionar ""Crédito Pessoal"".

Opções de Pagamento: O valor em aberto pode ser quitado via PIX ou cartão de crédito. O debito é quitado em até 3 parcelas.


Existe a opção de quitação antecipada com desconto, seguindo o mesmo caminho de pagamento.","crédito, emprestimo, pagamento, pagar, pessoal, quitar, quitação",,,"credito pessoal quitacao, crédito para clt, emprestimo, empréstimo pessoal, finalizar pagamento, liquidar pessoal, pagamento, pagar, pagar pessoal, quitação",Empréstimos > Antecipação > Liquidação > Contestação contratação,,
Crédito Pessoal - Crédito Após Aprovação,"Prazo: Após a aprovação final, o dinheiro é creditado na conta do cliente em poucos minutos.","aprovação, após, crédito, pessoal, tempo",,,"credito aprovado pessoal, credito pessoal apos aprovacao, crédito consignado, crédito rápido, tempo, tempo credito pessoal",IRPF | IRPF e Restituição > Duvída > Entrega IRPF > Situação da entrega,,
Crédito Pessoal - Critérios,"Tecnologia: A análise é baseada em Open Finance.

Autorização: O cliente precisa autorizar a conexão com o banco onde possui a chave PIX (CPF) cadastrada.

Outros tipos de chave não são válidos para a análise.

Resultado: A análise pode ser positiva ou negativa.

Em caso de negativa, informar que não há oferta disponível no momento e sugerir uma nova tentativa após 30 dias.","critérios, crédito, nova contratação, nova simulação, pessoal",,,"credito pessoal criterios, elegibilidade pessoal, empréstimo trabalhador, financiamento pessoal, nova contratação, nova simulação, requisitos pessoal",conta > Conta > Conta Celcoin > Abertura de conta,,
Crédito Pessoal - Empresa de Conexão,"Parceiro: A conexão Open Finance é feita através do nosso parceiro Belvo.

Esclarecimento: O cliente está conectando seus dados com a Velotax; o Belvo é apenas o intermediário tecnológico que garante a segurança do processo.","Belvo, Open Finance, conexão, crédito, empresa, pessoal",,,"belvo, belvo conexao, benefício trabalhista, credito pessoal conexao, empresa conexao, empréstimo sem garantia, open finance, open finance conexao",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
"Crédito Pessoal - Fiz uma simulação e não consigo mais contratar, o que houve?","Política de Crédito:

 As políticas de crédito da Velotax são atualizadas diariamente e podem ocasionar mudanças na oferta de crédito.

Ação:

 Realize uma nova simulação de crédito no aplicativo Velotax para verificar novamente a sua disponibilidade.","disponibilidade, mudou a oferta, não consigo contratar, oferta sumiu, política de crédito, sumiu o empréstimo",,,"credito pessoal simulacao sumiu, disponibilidade, empréstimo pessoal, mudou a oferta, nao contratar mais, não consigo contratar, oferta sumiu, oferta sumiu pessoal, politica credito pessoal, política de crédito, sumiu o empréstimo",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
Crédito Pessoal - Limite de idade,Faixa etária: A faixa etária para o crédito pessoal é de 18 a 75 anos para todos os clientes.,"crédito, elegibilidade, faixa etária, idade, limite, limite idade, pessoal",,,"credito pessoal idade limite, crédito para clt, crédito rápido, elegibilidade, elegibilidade idade pessoal, faixa etaria pessoal, faixa etária, limite idade",IRPF | IRPF e Restituição > Duváda > Restituição >Situação do pagamento,,
Crédito Pessoal - O consentimento do Open Finance é obrigatório?,"Obrigatoriedade:

 Sim, o consentimento do Open Finance é uma etapa obrigatória para a análise de crédito do Crédito Pessoal.

Processo:

 O cliente só avança para a avaliação de crédito após consentir com o compartilhamento de suas informações financeiras via Open Finance.","análise de crédito, avaliação, compartilhar dados, opcional, recusar",,,"análise de crédito, avaliação, belvo, compartilhar dados, compartilhar dados obrigatorio, consentimento obrigatorio, credito pessoal open finance obrigatorio, financiamento pessoal, opcional, recusar",Empréstimos > Antecipação > Taxas e Juros > Valor de Taxas,,
Crédito Pessoal - O dinheiro pode cair em uma conta diferente da que usei no Open Finance?,"Regra de Segurança:

 Não.

O valor do empréstimo só pode ser depositado na conta corrente da mesma titularidade que foi utilizada para o compartilhamento de dados via Open Finance.

Chave PIX:

 Além disso, a chave PIX para o recebimento deve ser o CPF do titular, e ela precisa estar vinculada a essa mesma conta.","Outra conta, chave PIX, depósito, mesma conta, receber em outro banco, titularidade",,,"chave pix, conta digital, credito pessoal conta diferente, deposito outra conta, depósito, empréstimo sem garantia, mesma conta, outra conta, receber em outro banco, sistema financeiro aberto, titularidade, titularidade conta pessoal",,,
Crédito Pessoal - O que acontece se eu atrasar o pagamento?,"Consequências do Atraso:

 Sim, o atraso no pagamento gera a cobrança de multa e encargos sobre o valor da parcela.

Valores:

 Multa por atraso: 2%

 Encargos: 1% ao mês.

Negativação:

 Caso o atraso não seja solucionado, o nome do cliente pode ser enviado aos órgãos de proteção ao crédito.","Atraso, SPC, Serasa, encargos, juros, multa, negativação, nome sujo, pagar atrasado, parcela vencida",,,"atraso, credito pessoal atraso pagamento, empréstimo pessoal, encargos, encargos atraso, juros, multa, multa atraso pessoal, negativação, nome sujo, nome sujo pessoal, pagamento em atraso, pagar atrasado, parcela vencida, percentual, serasa, spc",Empréstimos > Trabalhador > Liquidação > Quitação do contrato,,
Crédito Pessoal - O seguro prestamista é obrigatório?,"Contratação Opcional:

 Não, o seguro prestamista é um produto opcional e sua contratação não é obrigatória para a liberação do empréstimo.

Benefícios:

 O seguro garante a quitação ou amortização do saldo devedor em caso de imprevistos cobertos pela apólice, como desemprego ou invalidez.","apólice, cobertura, opcional, proteção, quitação, tranquilidade",,,"apolice prestamista, apólice, cobertura, credito pessoal seguro prestamista, crédito rápido, opcional, proteção, quitação, seguro obrigatorio pessoal, tranquilidade",,Empréstimos > Pessoal > Repasse de valores > Crédito Adquirido,
"Crédito Pessoal - Posso alterar a data de vencimento da parcela?","Data de Vencimento:

 Não, a data de vencimento das parcelas é definida automaticamente pelo sistema durante a análise do seu fluxo financeiro (via Open Finance) e não pode ser alterada após a contratação.

Motivo:

 A data é calculada para coincidir com os períodos de maior probabilidade de entrada de recursos na sua conta, visando facilitar o pagamento em dia","Alterar vencimento, adiar, data de pagamento, escolher dia, mudar data, outra data, postergar",,,"adiar, adiar vencimento pessoal, alterar vencimento, credito pessoal alterar vencimento, data de pagamento, escolher dia, financiamento pessoal, mudar data, mudar data parcela, outra data, postergar",,Empréstimos > Pessoal > Produtos de Crédito > Como contratar,
Crédito Pessoal - Posso contratar se estiver negativado?,"Elegibilidade:

 A elegibilidade para a operação pode ser consultada diretamente no aplicativo Velotax.

Como Verificar:

 Realize uma simulação de crédito no aplicativo para verificar a disponibilidade para o seu perfil.","SPC, Serasa, contratar com dívida, elegibilidade, nome sujo, restrição, simulação",,,"contratar com dívida, credito pessoal negativado, elegibilidade, empréstimo sem garantia, nome sujo, nome sujo contratar, reprovação, restricao credito pessoal, restrição, restrição de crédito, serasa, simulação, spc",,Empréstimos > Pessoal > Produtos de Crédito > Como contratar,
Crédito Pessoal - Posso contratar tendo outros produtos?,"Regra de Elegibilidade:

 Clientes que já possuem outros produtos de crédito ativos com a Velotax, como Crédito do Trabalhador ou débitos de Antecipação IRPF, não podem contratar o Crédito Pessoal.

Condição para Contratar:

 É necessário quitar integralmente os produtos de crédito anteriores antes de estar elegível para uma nova contratação de Crédito Pessoal.","antecipação IRPF, contratar junto, crédito trabalhador, elegibilidade, múltiplos empréstimos, outro produto, quitar antes",,,"antecipação irpf, contratar junto, contratar junto pessoal, credito pessoal outros produtos, crédito trabalhador, elegibilidade, empréstimo pessoal, multiplos emprestimos pessoal, múltiplos empréstimos, outro produto, quitar antes",,Empréstimos > Pessoal > Taxas e Juros > Valor de Taxas,
Crédito Pessoal - Posso pagar com cartão de crédito?,"Pagamento com Cartão:

 Sim, é possível pagar o empréstimo com cartão de crédito.

Condição Preferencial:

 Esta opção de pagamento é oferecida preferencialmente para clientes que estão com parcelas em atraso.","atraso, forma de pagamento, inadimplência, opção, parcelas, quitação",,,"atraso, credito pessoal pagar cartao, crédito rápido, forma de pagamento, forma pagamento cartao, inadimplência, opção, parcelas, quitacao cartao credito, quitação",,Empréstimos > Pessoal > Produtos de Crédito > Como contratar,
Crédito Pessoal - Preciso de garantia para contratar?,"Garantia:

 Não, o Crédito Pessoal da Velotax é um empréstimo sem garantia.

Significado:

 Isso significa que você não precisa deixar um imóvel, veículo ou qualquer outro bem como garantia para contratar o empréstimo.","avalista, bens, fiança, imóvel, seguro, sem garantia, veículo",,,"avalista, avalista pessoal, bens, credito pessoal garantia, fianca pessoal, fiança, financiamento pessoal, imóvel, segurança de crédito, seguro, sem garantia, sem garantia pessoal, veículo",,Empréstimos > Pessoal > Elegibilidade > Inelegível / Fora do perfil,
Crédito Pessoal - Quais documentos são necessários para contratação?,"Documentos:

 Você precisa ter uma conta na Velotax.

 Durante a contratação, será solicitado o compartilhamento de suas informações através do Open Finance.

 Será solicitada a captura de uma selfie.

 Será solicitada uma cópia do seu CPF / RG ou CNH.","CNH, CPF, Open Finance, conta Velotax, selfie",,,"cnh, conta velotax, contratar, cpf, credito pessoal documentos, empréstimo sem garantia, open finance, selfie, selfie cpf rg cnh open finance docs pessoal",,Empréstimos > Pessoal > Liquidação > Quitação do contrato,
Crédito Pessoal - Quais são as taxas de juros?,"Taxas:

 As taxas de juros variam conforme o perfil do cliente, o valor solicitado e o prazo de pagamento.

Como Verificar:

 Realize uma simulação de crédito no aplicativo Velotax para verificar as taxas de juros aplicadas à sua proposta.","custo, perfil de crédito, prazo, quanto custa, simulação, valor solicitado",,,"credito pessoal taxas juros, custo, custo simulacao perfil credito, empréstimo pessoal, juros pessoal, perfil de crédito, prazo, quanto custa, simulação, valor solicitado",,Empréstimos > Pessoal > Elegibilidade > Inelegível / Fora do perfil,
Crédito Pessoal - Qual a validade da proposta após a aprovação?,"Validade da Proposta:

 Após a aprovação do crédito, a proposta de empréstimo fica válida por 10 dias.

Ação do Cliente:

 O cliente pode finalizar a contratação a qualquer momento dentro desse período de 10 dias.

Após o prazo, a proposta expira.","10 dias, contratação, expira, oferta, prazo, tempo para aceitar",,,"10 dias, contratação, credito pessoal validade proposta, crédito rápido, expira, expira aprovacao pessoal, oferta, prazo, prazo aceitar oferta, simulação, tempo para aceitar",,Empréstimos > Pessoal > Elegibilidade > Inelegível / Fora do perfil,
Crédito Pessoal - Qual o valor mínimo e máximo que posso solicitar?,Valores: O valor máximo que você pode solicitar é de 1.500 reais. Não há valor mínimo definido. Como Verificar: Realize uma simulação de crédito no aplicativo Velotax para verificar a disponibilidade e os valores oferecidos para o seu perfil.,"disponibilidade, limite, perfil de crédito, quanto posso pedir, simulação, valor máximo",,,"credito pessoal valor min max, disponibilidade, financiamento pessoal, limite, limite solicitar pessoal, perfil de crédito, quanto pedir simulacao, quanto posso pedir, simulação, valor máximo",,Empréstimos > Pessoal > Liquidação > Quitação do contrato,
Crédito Pessoal - Quanto tempo demora para receber o dinheiro?,"Prazo de Liberação:

 Após a aprovação final do crédito, o valor pode ser liberado em até 30 minutos, dependendo do banco.","Receber dinheiro, aprovação, crédito em conta, depósito, liberação, prazo, tempo para cair",,,"aprovação, credito pessoal tempo receber, crédito em conta, depósito, empréstimo sem garantia, liberacao dinheiro pessoal, liberação, prazo, prazo deposito pessoal, receber dinheiro, tempo para cair",,Empréstimos > Pessoal > Produtos de Crédito > Como contratar,
Crédito Pessoal - Resultado Negativo,"Contexto: A análise de crédito do cliente para o Crédito Pessoal resultou em uma negativa.

Comunicação ao Cliente: Mensagem Principal: ""No momento, não há uma oferta de crédito disponível para o seu perfil."" Importante: Não especule sobre os motivos da negativa, pois o sistema não detalha essa informação.

Próximos Passos: Nova Tentativa: Sugira que o cliente pode fazer uma nova solicitação após 30 dias.","crédito, negativa, negativo, oferta, pessoal, resultado",,,"credito pessoal resultado negativo, crédito consignado, empréstimo pessoal, inelegível, negativa, negativa oferta pessoal, oferta, recurso financeiro, reprovado pessoal, spc",,Empréstimos > Pessoal > Taxas e Juros > Valor de Taxas,
"Crédito Pessoal - Se eu quitar antes, tenho desconto?","Quitação Antecipada:

 Sim, ao antecipar o pagamento de parcelas ou quitar o saldo devedor total, você tem direito à redução proporcional dos juros.

Como Fazer:

 O cálculo do desconto é feito automaticamente no aplicativo.

Acesse a área do seu empréstimo e selecione a opção de quitar ou antecipar para visualizar o valor final com o abatimento.","abatimento, amortizar, liquidar, pagar antes, quitação antecipada, redução de juros, valor para quitar",,,"abatimento, abatimento juros pessoal, amortizar, amortizar desconto, credito pessoal quitar antes desconto, crédito rápido, liquidar, pagar antes, quitação antecipada, redução, redução de juros, saldar dívida, valor para quitar",,,
Crédito Pessoal - Tempo de Análise,"Duração: A análise de crédito via Open Finance leva cerca de 2 minutos.

No App: O cliente acompanha o processo na tela ""Aguarde"".","aguarde, análise, crédito, open finance, pessoal, tempo",,,"aguarde, aguarde analise, conexão bancária, credito pessoal tempo analise, empréstimo trabalhador, financiamento pessoal, open finance, prazo aprovacao pessoal",,,
O que é DARF?,"O que é: Documento de Arrecadação de Receitas Federais, usado para pagar impostos ao Governo Federal.

Obrigatoriedade: Para Pessoas Físicas e Jurídicas que se enquadram nas regras.

Importância: Os DARFs de investimentos devem ser guardados, pois são usados na declaração anual do IRPF.",darf,,,"emissao darf, imposto darf, pagamento darf",,Empréstimos > Pessoal > Produtos de Crédito > Critérios,
Declaração/IRPF - 31/10/2025,"Status Atual: A funcionalidade de antecipação pode estar temporariamente indisponível para novas contratações.

Prazo: Não há um prazo definido para o retorno.

Orientação: O cliente deve acompanhar a disponibilidade diretamente pela tela inicial do aplicativo.

Declaração/IRPF

- 31/10/2025 Função da Data: A data (ex: 31/10/2025) é uma referência contratual para o cálculo dos encargos, baseada no último lote de restituição da Receita.

Como Funciona a Quitação: A dívida é quitada automaticamente assim que a restituição é paga, independentemente do mês.

O valor do contrato é fixo.

Retirada da Chave PIX (com dívida): Configura quebra de contrato e o valor total se torna devido imediatamente, com início das ações de cobrança em 5 dias úteis.","2025, CCB, declaração, irpf, outubro, quebra de contrato, restituição",,,"ccb, data irpf 2025, declaracao irpf 2025, outubro, prazo declaracao 2025, quebra de contrato, restituição",,Empréstimos > Pessoal > Elegibilidade > Inelegível / Fora do perfil,
Declaração/IRPF - Como consultar pendências,"Onde Consultar: Diretamente no portal MIR da Receita Federal.

Passo a Passo: Acessar Portal MIR > ""Meu Imposto de Renda"" > Selecionar o ano da declaração.

Detalhes da Pendência: Ao clicar na seção ""Pendências"", o sistema da Receita mostrará o motivo exato da inconsistência.","Portal MIR, consultar, declaração, irpf, pendências",,,"consulta pendencias irpf, declaracao irpf consultar pendencias, portal mir, portal mir pendencias",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
Declaração/IRPF - Erro no Plano IRPF PLUS,"Cenário: Cliente contratou o plano IRPF PLUS, mas um erro no app impediu a entrega da declaração.

Análise: Verificar a data de contratação.

Ação:

 Dentro de 7 dias: Abrir um pedido de estorno do valor.

 Após 7 dias: Levar o caso (com CPF e data) a um superior para análise de exceção.","declaração, erro, irpf, plano, plus, valor",,,"bug, declaracao irpf erro plus, falha plano irpf plus, problema irpf plus, valor, valor insuficiente",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
Declaração/IRPF - Malha Fina,"Causa: A declaração possui alguma pendência ou inconsistência identificada pela Receita Federal.

Ação do Cliente: Acessar o portal MIR para verificar o motivo exato da pendência e, se necessário, fazer uma declaração retificadora para corrigir os erros.

Responsabilidade: É um processo externo à Velotax.","Portal MIR, declaração, fina, irpf, malha, pendência, regularização",,,"compartilhamento de dados, declaracao irpf malha fina, pendencia malha irpf, pendência, pendências irpf, portal mir, regularizacao malha, regularização",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
Declaração/IRPF - Numero de lotes,"Datas dos Lotes de 2025:

 1º Lote: 30/05 (Já pago)

 2º Lote: 30/06 (Já pago)

 3º Lote: 31/07 (Já pago)

 4º Lote: 29/08

 5º Lote (último): 30/09","declaração, irpf, lotes, numero, quantos lotes",,,"declaracao irpf numero lotes, lotes irpf, quantos lotes, quantos lotes irpf",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
Declaração/IRPF - Omisso,"Significado: A Receita Federal identificou que o contribuinte tinha a obrigação de declarar o Imposto de Renda (provavelmente por ter rendimentos acima do limite de isenção), mas não o fez.","Status omisso, declaração, irpf, omisso, status omisso",,,"declaracao irpf omisso, declaracao omissa, status omisso, status omisso irpf",,Empréstimos > Pessoal > Liquidação > Quitação do contrato,
Declaração/IRPF - Retificar,"O que é: É o processo de corrigir erros ou omissões em uma declaração de IRPF já enviada.

Quando Fazer: Sempre que forem identificados dados incorretos (rendimentos, deduções, bens) ou omissões.

Benefício: Se feita antes de uma notificação da Receita, evita multas.

Como Fazer: Pelo programa do IRPF da Receita ou pelo portal MIR","correção, declaração, irpf, retificar, retificação",,,"correcao irpf, correção, declaracao irpf retificar, retificacao declaracao, retificação",Empréstimos > Antecipação > Liquidação > Liquidação antecipada,,
Declaração/IRPF - Taxa de acompanhamento,"Definição: Taxa de acompanhamento da declaração é um serviço adicional que garante o monitoramento completo do processo junto à Receita Federal, com alertas para pendências, retificações ou atualizações importantes.

Cálculo: A taxa é calculada proporcionalmente ao valor da restituição estimada no envio da declaração, alinhando o custo ao volume de informações e grau de acompanhamento.","Receita Federal, monitoramento, pendências, restituição, taxa acompanhamento",,,"declaracao irpf taxa acompanhamento, monitoramento, monitoramento taxa irpf, pendencias taxa, pendências, receita federal, restituição, taxa acompanhamento",,Empréstimos > Trabalhador > Elegibilidade > Inelegível / Fora do perfil,
